2014-05-20 15:33:47,903 | WARN  | Transport Connection to: tcp://127.0.0.1:41900 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:41900
2014-05-20 15:33:48,587 | WARN  | Transport Connection to: tcp://127.0.0.1:41969 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:41969
2014-05-20 15:33:48,587 | WARN  | Transport Connection to: tcp://127.0.0.1:41969 failed: java.net.SocketException: Broken pipe | org.apache.activemq.broker.TransportConnection.Transport | Async Exception Handler
2014-05-20 15:33:54,524 | WARN  | Transport Connection to: tcp://127.0.0.1:42213 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:42213
2014-05-20 15:39:08,063 | WARN  | Transport Connection to: tcp://127.0.0.1:42328 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:42328
2014-05-20 15:40:00,383 | WARN  | Transport Connection to: tcp://127.0.0.1:42438 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:42438
2014-05-20 15:48:42,166 | WARN  | Transport Connection to: tcp://127.0.0.1:42561 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:42561
2014-05-20 15:48:42,166 | WARN  | Transport Connection to: tcp://127.0.0.1:42558 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:42558
2014-05-20 15:48:42,166 | WARN  | Transport Connection to: tcp://127.0.0.1:42560 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:42560
2014-05-20 15:48:42,166 | WARN  | Transport Connection to: tcp://127.0.0.1:42557 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:42557
2014-05-20 15:48:42,166 | WARN  | Transport Connection to: tcp://127.0.0.1:42559 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:42559
2014-05-20 15:56:20,053 | WARN  | Transport Connection to: tcp://127.0.0.1:43633 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:43633
2014-05-20 15:56:20,053 | WARN  | Transport Connection to: tcp://127.0.0.1:43631 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:43631
2014-05-20 15:56:20,053 | WARN  | Transport Connection to: tcp://127.0.0.1:43635 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:43635
2014-05-20 15:56:20,053 | WARN  | Transport Connection to: tcp://127.0.0.1:43632 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:43632
2014-05-20 15:56:20,054 | WARN  | Transport Connection to: tcp://127.0.0.1:43634 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:43634
2014-05-20 16:00:39,928 | WARN  | Transport Connection to: tcp://127.0.0.1:44817 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:44817
2014-05-20 16:00:39,928 | WARN  | Transport Connection to: tcp://127.0.0.1:44816 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:44816
2014-05-20 16:00:39,928 | WARN  | Transport Connection to: tcp://127.0.0.1:44813 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:44813
2014-05-20 16:00:39,928 | WARN  | Transport Connection to: tcp://127.0.0.1:44815 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:44815
2014-05-20 16:00:39,928 | WARN  | Transport Connection to: tcp://127.0.0.1:44814 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:44814
2014-05-20 17:35:14,458 | WARN  | Transport Connection to: tcp://127.0.0.1:52543 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:52543
2014-05-20 17:35:14,458 | WARN  | Transport Connection to: tcp://127.0.0.1:52542 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:52542
2014-05-20 17:35:14,458 | WARN  | Transport Connection to: tcp://127.0.0.1:52536 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:52536
2014-05-20 17:35:14,458 | WARN  | Transport Connection to: tcp://127.0.0.1:52537 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:52537
2014-05-20 17:35:14,458 | WARN  | Transport Connection to: tcp://127.0.0.1:52538 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:52538
2014-05-20 22:01:06,659 | WARN  | Transport Connection to: tcp://127.0.0.1:46472 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:46472
2014-05-20 22:01:06,659 | WARN  | Transport Connection to: tcp://127.0.0.1:46466 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:46466
2014-05-20 22:01:06,659 | WARN  | Transport Connection to: tcp://127.0.0.1:46469 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:46469
2014-05-20 22:01:06,659 | WARN  | Transport Connection to: tcp://127.0.0.1:46473 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:46473
2014-05-20 22:01:06,659 | WARN  | Transport Connection to: tcp://127.0.0.1:46470 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:46470
2014-05-20 22:26:05,936 | WARN  | Transport Connection to: tcp://127.0.0.1:58016 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:58016
2014-05-20 22:26:05,936 | WARN  | Transport Connection to: tcp://127.0.0.1:58015 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:58015
2014-05-20 22:26:05,936 | WARN  | Transport Connection to: tcp://127.0.0.1:58018 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:58018
2014-05-20 22:26:05,936 | WARN  | Transport Connection to: tcp://127.0.0.1:58019 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:58019
2014-05-20 22:26:05,936 | WARN  | Transport Connection to: tcp://127.0.0.1:58017 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:58017
2014-05-20 22:30:52,561 | WARN  | Transport Connection to: tcp://127.0.0.1:59520 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:59520
2014-05-20 22:30:52,561 | WARN  | Transport Connection to: tcp://127.0.0.1:59531 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:59531
2014-05-20 22:30:52,561 | WARN  | Transport Connection to: tcp://127.0.0.1:59526 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:59526
2014-05-20 22:30:52,561 | WARN  | Transport Connection to: tcp://127.0.0.1:59529 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:59529
2014-05-20 22:30:52,561 | WARN  | Transport Connection to: tcp://127.0.0.1:59496 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:59496
2014-05-20 22:31:21,120 | WARN  | Transport Connection to: tcp://127.0.0.1:59548 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:59548
